expected,predicted,count
plan,plan,203
plan,event,0
plan,request,0
plan,deadline,0
plan,announcement,0
plan,question,0
plan,logistics,0
plan,noise,2
event,plan,0
event,event,104
event,request,0
event,deadline,0
event,announcement,0
event,question,0
event,logistics,0
event,noise,69
request,plan,0
request,event,0
request,request,212
request,deadline,10
request,announcement,0
request,question,0
request,logistics,0
request,noise,12
deadline,plan,0
deadline,event,0
deadline,request,0
deadline,deadline,223
deadline,announcement,0
deadline,question,0
deadline,logistics,0
deadline,noise,13
announcement,plan,0
announcement,event,1
announcement,request,0
announcement,deadline,0
announcement,announcement,166
announcement,question,0
announcement,logistics,1
announcement,noise,14
question,plan,0
question,event,0
question,request,0
question,deadline,0
question,announcement,0
question,question,113
question,logistics,0
question,noise,115
logistics,plan,0
logistics,event,15
logistics,request,26
logistics,deadline,0
logistics,announcement,0
logistics,question,0
logistics,logistics,289
logistics,noise,31
noise,plan,0
noise,event,0
noise,request,0
noise,deadline,37
noise,announcement,0
noise,question,0
noise,logistics,0
noise,noise,1089
